id_batiment,nb_infras,difficulte_batiment
E000112,2,20.885069
E000098,2,20.982113
E000274,2,21.160614
E000222,2,23.11015
E000188,3,23.902639
E000127,3,24.58393
E000364,3,24.718561
E000111,3,25.748561
E000185,3,26.282509
E000267,3,27.039143
E000067,3,27.099494
E000301,4,28.52368
E000365,3,29.711782
E000128,3,30.011118
E000268,3,32.767069
E000266,3,33.838173
E000085,3,34.690247
E000183,3,35.910856
E000322,3,36.296332
E000145,4,37.745844
E000252,3,41.979517
E000106,4,42.609184
E000346,4,43.323153
E000293,4,43.388237
E000315,5,44.497184
E000107,4,44.584545
E000144,4,48.410329
E000359,5,48.471832
E000184,3,50.101836
E000373,5,50.624854
E000316,5,50.750235
E000374,5,51.422161
E000360,4,52.434555
E000367,5,54.252828
E000003,3,54.541389
E000361,4,54.611766
E000368,5,54.917267
E000108,4,55.708934
E000109,4,56.407451
E000376,6,57.829724
E000369,5,58.41242
E000146,7,58.695058
E000129,3,59.715579
E000377,6,59.924283
E000366,6,60.840836
E000378,6,63.05374
E000380,7,65.396985
E000110,4,66.441404
E000372,6,67.125886
E000381,7,72.833175
E000375,7,73.700296
E000194,8,75.093736
E000195,8,75.093736
E000196,8,75.093736
E000225,8,75.093736
E000258,8,75.093736
E000259,8,75.093736
E000178,9,75.391129
E000160,8,75.483091
E000325,6,75.810597
E000197,10,79.771083
E000379,8,81.1706
E000326,6,82.962758
E000228,11,84.482931
E000161,8,84.569135
E000226,11,85.205122
E000227,11,85.911313
E000229,11,87.909936
E000198,10,89.440508
E000260,12,92.291195
E000275,13,95.451894
E000302,12,98.231541
E000257,11,103.381436
E000317,15,105.265768
E000327,16,109.933796
E000303,14,110.90377
E000358,17,114.692327
E000174,9,116.273149
E000363,18,117.68103
E000370,19,122.912938
E000176,9,127.79652
E000177,9,130.683406
E000371,19,136.336954
E000175,9,138.07015
E000193,10,147.720707
